author,name,playVolume,rank,score
玄机科技,爷秦回！诸子百家，唯我纵横——秦时明月世界不删档CG,5.3万,22,70449
未知生物11,深度解析伍六七回归PV，8分钟全程干货，最终boss竟然是个和尚？,4.7万,23,65509
白色的橘猫,凹凸世界第四季预热《风暴再临》2.0！,7.4万,24,63605
凌诺雅,国漫史上3.1分的玛丽苏大作！b站倒数第四的《精灵梦叶罗丽》连载8年208集还未完结，到底讲了什么？【国动凌晷】,10万,25,61980
葉月Mashiro灬,豪龙破军，怒龙穿心！这才是巅峰对决瞬间！,1.7万,26,60322
RS-文宣帝-星辰,【秦时明月】漫长农家线结束，沧海横流怎么这么拉了？能写分析文就等于剧情好？【国漫观察第十三期】,3.2万,27,60160
陈晨辰鸭,这就是【一人】的魅力！,3.7万,28,56710
荟小荟,【刺客厂牌】刺 杀 何 小 疯,5.6万,29,55347
暮尘君,何导透露第三季下篇伍六七不是主角，细致花絮【剧透解析】,3.6万,30,54585
白马侯子,无人不冤 有情皆孽-凡人修仙传女角色深度解读篇之慕沛灵,2.2万,31,54044
不是很神奇の布铃,【星游记】我也曾幻想过这样一个宇宙！,2.5万,32,52089
网易逆水寒,【山河令】偷偷给你们看未播大结局，高甜慎点。,3.2万,33,50696
傾梅z,青梅竹马，终究抵不过门当户对。,5.6万,34,47318
她等你一起在,【斗罗150集】月黑风高，杀人夜！敢调戏小舞，唐三怒了！,4.8万,35,47267
玖紫星,【完美世界】火灵儿出场！正片还没更，预告已经七集了！,3万,36,45953
卧快,【星游记/AMV】这么有意思的家伙，就特别允许你活到——羽毛落地的时候吧！致我心目中的克拉,4万,37,45112
利维坦mY,怪物马克被火刑！冉冰被尘民杀死？【灵笼终章】预告-逐帧解析,6.3万,38,42138
LaO-V-YuEhOU,Last Reunion - 我们终将集结！【凹凸世界/对白向/踩点】,1.3万,39,40719
乌拉拉是小怪兽,【乌拉拉穿越系列】皇帝的奏折里都写了啥？,3.5万,40,39485
苏戈Ex,凹凸世界惨遭降维打击！！！,1.9万,41,37063
阿狸波波233,刀片来袭!十三刺杀阿七!保姆式解读下篇PV【刺客伍六七第三季】,3万,42,36348
一口十個蛋撻,【非人哉】这是一个吸欧气专用视频！,1.9万,43,36238
独孤崭夏,【大大怪】遥想当年，我一人败退了千军万马,7.4万,44,36011
MARS动画工作室,【神还原】用我的世界动画还原刺客伍六七第三季op!!!方块人伍六七!!,5.7万,45,35452
辛夷神说,大惊喜事件！伍六七居然定档湖南卫视了！绝密骗花有！【伪预告骗】,6.8万,46,35038
手工阿兔,用羊毛毡做个梅花十三，你猜我扎了多少针？,5.4万,47,34739
阿巳与小铃铛,这应该是就是人类无法抗拒的诱惑吧？,6.6万,48,32338
不正经老丝,中国为什么要用兔子代表？那兔中角色背后的寓意与文化,4.8万,49,32164
司徒小桃,我在全世界面前保持清醒，只在你肩头沉醉,5.1万,50,30926
烟花君Ga,抄袭代笔又腐败！《查理九世》原作者一纸长文揭露少儿图书市场的乱象,6.5万,51,30903
麻蛇不更我羹,这盛世，你们回来看了吗,3.1万,52,30725
九五年动画,没用天团成员VCR：斯大,1.8万,53,29468
ACGNNNN,非人哉动画：哪吒居然真打工去了，那让咱们YY一下他能干些啥？,3.8万,54,28657
齐司礼,“待你金袍归来时，满城飞花为你开”,5777,55,28537
-TS映画-,曾经的国漫之光，为何频频魔改！IP改编的成与败！【国创安利#3】,5.6万,56,28360
米彩漫剪,荣荣只是逛个街，就买到了佛怒唐莲、暴雨梨,2.4万,57,27702
-_艾达王_-,《尸兄》尸王向京城发起四面总攻！男主白小飞面对100%反弹攻击的尸兄能否取胜？炎黄最高战力登场！（尸兄L市终篇）,1.8万,58,26602
超子の光玉,【罗小黑战记】罗 小 黑 燃 起 来 啦！,2万,59,26427
你妹西天取金,灰太狼：我颠覆了整个世界，只为换你一次回眸,3.4万,60,25699
飞流薄年,罪将于禁恭迎我大魏守护之力,3.7万,61,25544
昭爱狐,狐妖小红娘134话，涂山红红和东方月初的和平之梦！,1.2万,62,25153
玉珠麟龙,【斗破第四季】熏儿整容成功，黑丝御姐雅妃，各位久等了,2.4万,63,24468
橘子想吃柠檬,时隔十年再度起航，《罗小黑战记》仍是国动骄傲【橘说国创#15】,2.1万,64,24365
紫丁香吖,你相信这只是一只猫吗！？,2.7万,65,24341
肆盏盏,卧槽这张脸是照着蓝兔捏的吗？太像蓝兔了吧！,4.1万,66,24000
凉凉的云川诶,玄武国群雄激战！下篇剧情预测【下篇定档4月7！】,2万,67,23923
袭晨相依,流水的电视剧，铁打的配音演员,3.5万,68,23469
白阿猫丶,疯批美女  紫太狼,3.9万,69,23259
俊孩玄晔,听冥王讲话简直就是一种享受！,3.3万,70,22855
夜里的那片海,【斗罗大陆 | 武魂真身 | 全员混剪 | 超燃】第七魂技！武魂真身！,2.4万,71,22268
神奇的千千,“喜羊羊，你可知我们为何与世界为敌？”,3.4万,72,22095
